序号,行业名称,当前周期阶段,未来1-3年景气度,评价,
145,供应链服务,成熟期,平稳,物流与供应链稳定,
146,保险,成熟期,平稳,总量稳健，但增速不乐观，人身险是亮点,
147,光纤光缆,成熟期,平稳,5G后期需求平稳,
148,公共交通,成熟期,平稳,城市出行需求稳定,
149,公路货运,成熟期,平稳,物流需求稳定,
150,塑料制品,成熟期,平稳,需求相对放缓，主要看供给端,
151,通信设备,成熟期,平稳,5G建设尾声，行业逐步成熟,
152,制冷空调设备,成熟期,平稳,钢铁与工业需求,
153,制冷空调设备,成熟期,平稳,建筑与工业需求稳定,
154,医药流通,成熟期,平稳,行业相对刚性，短期期还未走出熊市,
155,医药流通,成熟期,平稳,消费整合中,
156,卫浴电器,成熟期,平稳,地产后周期影响,
157,厨房小家电,成熟期,平稳,地产后周期，下游更换和机械的周期长,
158,厨房小家电,成熟期,平稳,纺织产业链中游,
159,厨房小家电,成熟期,平稳,渗透率已高,
160,厨房小家电,成熟期,平稳,渗透率已高，增速放缓,
161,合成树脂,成熟期,平稳,化工品相对稳定，市场饱和度高,
162,合成树脂,成熟期,平稳,需求相对稳定,
163,啤酒,成熟期,平稳,消费需求稳定,
164,国有大型银行,成熟期,平稳,盈利稳健，增长缓慢,
165,股份制银行,成熟期,平稳,行业稳定于，环保政策力度影响供给端,
166,塑料包装,成熟期,平稳,包装需求相对稳定，主要看供给端,
167,塑料包装,成熟期,平稳,包装需求相对稳定，主要看供给端,
168,塑料包装,成熟期,平稳,包装需求相对稳定，主要看供给端,
169,复合肥,成熟期,平稳,农业刚需,
170,大众出版,成熟期,平稳,数字化转型中,
171,娱乐用品,成熟期,平稳,消费娱乐需求稳定,
172,家电零部件,成熟期,平稳,行业出海与升级,
173,广播电视,成熟期,平稳,传统媒体转型中,
174,广播电视,成熟期,平稳,传统媒体转型中,
175,广播电视,成熟期,平稳,传统媒体转型中,
176,教育出版,成熟期,平稳,政策影响较大,
177,文化用品,成熟期,平稳,需求稳定,
178,文字图片材料,成熟期,平稳,传统媒体转型,
179,无机化工原料,成熟期,平稳,传统化工需求,
180,林业,成熟期,平稳,政策驱动，稳中有升,
181,果蔬加工,成熟期,平稳,消费需求稳定,
182,橡胶制品,成熟期,平稳,汽车与工业需求稳定,
183,橡胶制品,成熟期,平稳,汽车与工业需求稳定,
184,橡胶制品,成熟期,平稳,汽车与工业需求稳定,
185,氯碱,成熟期,平稳,农业化工需求稳定,
186,氯碱,成熟期,平稳,纺织需求稳定,
187,氮肥,成熟期,平稳,农业化工需求稳定,
188,氮肥,成熟期,平稳,传统化工需求稳定,
189,氮肥,成熟期,平稳,农业化工需求稳定，但政策限产、生态保护,
190,水产养殖,成熟期,平稳,需求稳定，但政策限产、生态保护,
191,水产养殖,成熟期,平稳,养殖需求稳定，运营,
192,水力发电,成熟期,平稳,消费需求稳定，运营,
193,水力发电,成熟期,平稳,公用事业属性,
194,水务,成熟期,平稳,公用事业属性,
195,洗涤用品,成熟期,平稳,消费需求稳定,
196,洗涤用品,成熟期,平稳,建筑与工业需求稳定,
197,涂料油墨,成熟期,平稳,工业与印刷需求稳定,
198,涂料油墨,成熟期,平稳,纺织与皮革需求稳定,
199,港口,成熟期,平稳,外贸与内贸需求稳定,
200,火力发电,成熟期,平稳,轮胎与橡胶需求稳定,
201,火力发电,成熟期,平稳,传统能源需求稳定,
202,热力生产,成熟期,平稳,公用事业属性,
203,热力生产,成熟期,平稳,公用事业属性,
204,热力生产,成熟期,平稳,公用事业属性,
205,燃气,成熟期,平稳,消费需求稳定,
206,燃气,成熟期,平稳,公用事业属性,
207,生活用纸,成熟期,平稳,消费刚性,
208,电信运营服务,成熟期,平稳,用户增长放缓，渗透率已高，进入运维阶段,
209,电信运营服务,成熟期,平稳,用户增长放缓，渗透率已高，进入运维阶段,
210,电视服务,成熟期,平稳,用户增长放缓，渗透率已高，进入运维阶段,
211,电视服务,成熟期,平稳,消费需求稳定,
212,畜禽饲料,成熟期,平稳,养殖需求稳定,
213,磨具磨料化工,成熟期,平稳,传统制造业需求,
214,磨具磨料化工,成熟期,平稳,农业工业需求稳定,
215,空调,成熟期,平稳,地产后周期与更新需求,
216,空调,成熟期,平稳,地产后周期与更新需求,
217,粮油加工,成熟期,平稳,消费刚性,
218,粮食种植,成熟期,平稳,农业刚需,
219,系统设备,成熟期,平稳,通信设备需求平稳,
220,纺织化学品,成熟期,平稳,纺织产业链稳定,
221,纺织化学品,成熟期,平稳,医药整合中,
222,线下药店,成熟期,平稳,行业增速有限，增速放缓,
223,线下药店,成熟期,平稳,渗透率已高，增速放缓,
224,综合电商,成熟期,平稳,5G后周期,
225,网络工程运维,成熟期,平稳,5G建设高峰已过，进入运维阶段,
226,网络工程运维,成熟期,平稳,5G建设高峰已过，进入运维阶段,
227,网络规划设计,成熟期,平稳,5G建设高峰已过，进入运维阶段,
228,网络规划设计,成熟期,平稳,5G建设高峰已过，进入运维阶段,
229,聚酯树脂,成熟期,平稳,建筑与建材需求稳定,
230,耐火材料,成熟期,平稳,钢铁与建材需求稳定,
231,内制品,成熟期,平稳,消费需求稳定,
232,视频音频媒体,成熟期,平稳,流媒体竞争激烈,
233,视频音频媒体,成熟期,平稳,流媒体竞争激烈,
234,调味品,成熟期,平稳,消费刚性,
235,软饮料,成熟期,平稳,消费需求稳定,
236,金属制品及配件,成熟期,平稳,消费电子需求平稳,
237,通信终端,成熟期,平稳,传统媒体需求稳定,
238,钟表珠宝,成熟期,平稳,消费升级与保值需求影响,
239,钟表珠宝,成熟期,平稳,消费升级与保值需求影响,
240,钟表珠宝,成熟期,平稳,消费升级与保值需求影响,
241,铁路运输,成熟期,平稳,需求稳定,
242,鞋及其他,成熟期,平稳,消费需求稳定,
243,食品加工,成熟期,平稳,食品工业需求稳定,
244,商用厨房,成熟期,平稳,消费需求稳定，增速有限,
245,商用制冷,成熟期,平稳,消费需求稳定，增速有限,
246,高端白酒,成熟期,平稳,消费需求稳定,
247,生猪养殖,周期波动,震荡,产能过剩，需求复苏,
248,玻璃制造,周期波动,震荡,新周期影响,
249,石油贸易,周期波动,震荡,地缘政治影响,
250,石油贸易,周期波动,震荡,地缘政治影响,
251,证券,周期波动,震荡,市场预期伴随,
252,进出口贸易服务,周期波动,震荡,外贸环境伴随,
253,专业连锁,调整期,承压,消费渠道变革,
254,住宅地产,调整期,承压,实体经济复苏慢,
255,工业地产,调整期,承压,实体经济复苏慢,
256,农商行,调整期,承压,区域经济与资产压力,
257,农商行,调整期,承压,区域经济与资产压力,
258,商业地产,调整期,承压,实体经济复苏慢，但政策限制力度加大,
259,商业地产,调整期,承压,实体经济复苏慢，但政策限制力度加大,
260,商业物业经营,调整期,承压,消费复苏缓慢,
261,商业物业经营,调整期,承压,消费复苏缓慢,
262,园林工程,调整期,承压,地方财政压力影响严重,
263,教育,调整期,承压,政策与资本影响严重,
264,家具零售,调整期,承压,渠道变革与资产压力,
265,家具零售,调整期,承压,渠道变革与资产压力,
266,大宗用纸,调整期,承压,地产后周期,
267,家具建设,调整期,承压,地产后周期，需求温和,
268,房屋建设,调整期,承压,地产后周期，需求温和,
269,摩托车,调整期,承压,电动化转型中，多地禁售禁摩,
270,教育培训,调整期,承压,政策影响，需求疲软,
271,有机硅,调整期,承压,产能过剩，需求疲软,
272,水泥制品,调整期,承压,地产下行拖累,
273,水泥制品,调整期,承压,地产下行拖累,
274,水泥制品,调整期,承压,地产下行拖累,
275,焦炭加工,调整期,承压,钢铁产业链需求疲软,
276,焦化加工,调整期,承压,钢铁产业链需求疲软,
277,煤化工,调整期,承压,环保与能源压力,
278,煤化工,调整期,承压,环保与能源压力,
279,玻璃制造,调整期,承压,地产下行拖累，低景气可期,
280,百货,调整期,承压,地产下行拖累，低景气可期,
281,租赁经营,调整期,承压,消费渠道变革,
282,租赁经营,调整期,承压,实体经济复苏慢,
283,航运,周期下行,承压,运力过剩，需求回落,
284,航运,周期下行,承压,运力过剩，需求回落,
285,装修装饰,调整期,承压,地产链仍处底部,
286,装修装饰,调整期,承压,地产链仍处底部,
287,金融控股,调整期,承压,金融监管趋严,
288,金融控股,调整期,承压,金融监管趋严,
289,钢材,调整期,承压,地产下行拖累,
290,钢材,调整期,承压,地产下行拖累,
291,陶瓷,调整期,承压,地产下行拖累,
292,陶瓷,调整期,承压,地产下行拖累
